WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.200150200000000 49.147473077999997)","Unfall 33866 (2016) Kat:3 Licht:0",33866,3,6,3,07,12,3,,0,0,1,0,0
"POINT (9.201046792000000 49.152061564000000)","Unfall 33977 (2016) Kat:3 Licht:0",33977,3,6,2,07,18,4,,0,0,1,0,1
"POINT (9.222481970000001 49.152747685999998)","Unfall 33987 (2016) Kat:3 Licht:0",33987,3,6,3,07,20,3,,0,0,1,0,1
"POINT (9.226368194999999 49.131186440000000)","Unfall 34064 (2016) Kat:3 Licht:0",34064,3,2,3,07,15,4,,0,1,0,0,0
"POINT (9.176422701000000 49.140066267999998)","Unfall 34104 (2016) Kat:3 Licht:0",34104,3,6,2,07,17,2,,0,0,1,0,0
"POINT (9.211197071999999 49.169623016999999)","Unfall 34265 (2016) Kat:2 Licht:0",34265,2,3,5,07,15,2,,0,1,1,0,0
"POINT (9.151597357000000 49.140773406999998)","Unfall 34347 (2016) Kat:3 Licht:0",34347,3,6,3,07,08,4,,0,0,1,0,0
"POINT (9.223117617000000 49.146255480000001)","Unfall 34375 (2016) Kat:3 Licht:0",34375,3,6,2,07,15,2,,0,0,1,0,0
"POINT (9.217759925999999 49.130474118000002)","Unfall 34389 (2016) Kat:2 Licht:0",34389,2,3,5,07,16,1,,0,0,1,0,1
"POINT (9.183423168999999 49.164862325000001)","Unfall 34473 (2016) Kat:2 Licht:0",34473,2,2,1,07,11,5,,0,0,1,0,0
"POINT (9.203710666999999 49.126553395999998)","Unfall 34499 (2016) Kat:3 Licht:0",34499,3,6,1,07,17,4,,0,0,1,0,0
"POINT (9.222101217000001 49.134182963999997)","Unfall 34505 (2016) Kat:3 Licht:0",34505,3,3,6,07,10,4,,0,0,1,1,0
"POINT (9.174954917999999 49.100737141000003)","Unfall 34510 (2016) Kat:3 Licht:0",34510,3,4,6,07,18,5,,0,0,1,1,0
"POINT (9.229934225999999 49.146069216999997)","Unfall 34537 (2016) Kat:3 Licht:0",34537,3,6,2,07,11,7,,0,0,1,0,0
"POINT (9.226674359000000 49.133907622999999)","Unfall 34581 (2016) Kat:3 Licht:0",34581,3,3,5,07,14,6,,0,0,1,0,0
"POINT (9.229449642000001 49.138731743000001)","Unfall 34583 (2016) Kat:3 Licht:0",34583,3,3,5,08,10,2,,0,0,1,0,0
"POINT (9.198068249000000 49.132129966000001)","Unfall 34706 (2016) Kat:3 Licht:0",34706,3,6,2,07,17,7,,0,0,1,0,0
"POINT (9.207728211999999 49.151341107000000)","Unfall 34776 (2016) Kat:3 Licht:2",34776,3,2,4,07,00,6,,2,0,1,0,0
