WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
POINT (8.686929357000000 50.107285582000003),Unfall 10945 (2016) Kat:2 Licht:2,10945,2,7,3,02,17,2,,2,0,1,0,1
POINT (8.728612338000000 50.145711941000002),Unfall 10948 (2016) Kat:3 Licht:2,10948,3,6,4,02,18,2,,2,0,1,0,0
POINT (8.616371227000000 50.093259871000001),Unfall 10953 (2016) Kat:3 Licht:2,10953,3,1,2,02,00,3,,2,0,1,0,0
POINT (8.647235880000000 50.056811824999997),Unfall 10963 (2016) Kat:3 Licht:2,10963,3,6,2,03,19,3,,2,0,1,0,0
POINT (8.685342490000000 50.097540113999997),Unfall 10970 (2016) Kat:3 Licht:0,10970,3,5,1,02,14,1,,0,1,1,0,0
POINT (8.699220938000000 50.084205265000001),Unfall 10972 (2016) Kat:2 Licht:0,10972,2,1,8,02,14,2,,0,0,1,0,0
POINT (8.688906584000000 50.158479460999999),Unfall 10978 (2016) Kat:3 Licht:2,10978,3,4,6,03,19,3,,2,0,1,1,0
POINT (8.694711995000001 50.131330859000002),Unfall 10980 (2016) Kat:3 Licht:1,10980,3,6,2,02,17,7,,1,0,1,0,0
POINT (8.593198307000000 50.122821367000000),Unfall 10986 (2016) Kat:3 Licht:0,10986,3,2,5,02,16,3,,0,1,1,0,0
POINT (8.677864104999999 50.105427652000003),Unfall 10992 (2016) Kat:3 Licht:2,10992,3,6,4,02,19,3,,2,0,1,0,0
POINT (8.507841126000001 50.079409538000000),Unfall 10995 (2016) Kat:3 Licht:2,10995,3,6,2,02,23,6,,2,0,1,0,0
POINT (8.688627423000000 50.062150242999998),Unfall 11004 (2016) Kat:3 Licht:2,11004,3,2,5,03,19,5,,2,0,1,0,0
POINT (8.718499258000000 50.113713085999997),Unfall 11006 (2016) Kat:3 Licht:0,11006,3,4,6,02,16,4,,0,0,1,1,0
POINT (8.640519329000000 50.102685315999999),Unfall 11029 (2016) Kat:3 Licht:0,11029,3,6,2,02,08,5,,0,0,1,0,1
POINT (8.668596344999999 50.099240711000000),Unfall 11031 (2016) Kat:3 Licht:0,11031,3,3,5,03,11,4,,0,0,1,0,0
POINT (8.656277267000000 50.135425400000003),Unfall 11061 (2016) Kat:3 Licht:2,11061,3,6,2,02,01,7,,2,0,1,0,0
POINT (8.674446895999999 50.131899267999998),Unfall 11075 (2016) Kat:3 Licht:0,11075,3,2,3,02,07,4,,0,1,1,0,0
POINT (8.592134887000000 50.100203692999997),Unfall 11084 (2016) Kat:3 Licht:0,11084,3,2,5,02,13,2,,0,0,1,0,0
POINT (8.754357693999999 50.143441723999999),Unfall 11088 (2016) Kat:3 Licht:0,11088,3,7,5,02,14,7,,0,0,1,0,0
POINT (8.692993739000000 50.113172079000002),Unfall 11110 (2016) Kat:3 Licht:0,11110,3,2,3,02,10,2,,0,0,0,0,0
POINT (8.606926266000000 50.054030711999999),Unfall 11120 (2016) Kat:3 Licht:0,11120,3,6,2,02,08,3,,0,0,1,0,0
POINT (8.751096687000000 50.145015626999999),Unfall 11127 (2016) Kat:3 Licht:0,11127,3,6,2,02,09,7,,0,0,1,0,0
POINT (8.560710074999999 50.101606957999998),Unfall 11136 (2016) Kat:2 Licht:0,11136,2,5,1,02,08,6,,0,1,1,0,0
POINT (8.609124911000000 50.126703165999999),Unfall 11137 (2016) Kat:2 Licht:0,11137,2,3,5,02,07,2,,0,1,0,0,0
POINT (8.638540710999999 50.094242479000002),Unfall 11147 (2016) Kat:3 Licht:0,11147,3,3,5,03,11,5,,0,1,0,0,0
POINT (8.528686452000001 50.107749941999998),Unfall 11157 (2016) Kat:2 Licht:0,11157,2,3,5,02,10,7,,0,1,1,0,0
POINT (8.665043799999999 50.165904308999998),Unfall 11159 (2016) Kat:3 Licht:2,11159,3,7,7,02,19,2,,2,0,1,0,0
POINT (8.603911769000000 50.052168876000003),Unfall 11170 (2016) Kat:3 Licht:0,11170,3,6,2,02,11,4,,0,0,1,0,0
POINT (8.674966238000000 50.101416141000001),Unfall 11173 (2016) Kat:3 Licht:2,11173,3,4,6,02,19,7,,2,0,1,1,0
POINT (8.705552153999999 50.176370384000002),Unfall 11179 (2016) Kat:1 Licht:2,11179,1,1,8,02,18,6,,2,0,1,0,0
POINT (8.559707679000001 50.081154142999999),Unfall 11185 (2016) Kat:3 Licht:2,11185,3,3,5,03,22,3,,2,0,1,0,0
POINT (8.686269404000001 50.155162965000002),Unfall 11194 (2016) Kat:2 Licht:2,11194,2,6,6,02,00,2,,2,0,0,1,0
POINT (8.652641314000000 50.117531788000001),Unfall 11197 (2016) Kat:3 Licht:0,11197,3,6,2,02,10,6,,0,0,1,0,0
POINT (8.512171978000000 50.087527168000001),Unfall 11199 (2016) Kat:3 Licht:0,11199,3,4,6,03,15,3,,0,0,1,1,0
POINT (8.585861346000000 50.053973458000002),Unfall 11200 (2016) Kat:3 Licht:1,11200,3,6,2,02,17,5,,1,0,1,0,0
