WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (8.600586682000028 52.038282262000052)","Unfall 31581 (2024) Kat:3, Licht: 0","31581","3","2","0","04","11","4","","0","1","1","0","0"
"POINT (8.613771431000032 52.037568715000077)","Unfall 31582 (2024) Kat:3, Licht: 0","31582","3","1","2","04","09","4","","0","0","1","0","0"
"POINT (8.574775397000053 51.951487159000067)","Unfall 31662 (2024) Kat:3, Licht: 0","31662","3","1","0","04","16","3","","0","0","0","0","1"
"POINT (8.486979432000055 52.003232730000036)","Unfall 31767 (2024) Kat:3, Licht: 0","31767","3","1","9","04","18","2","","0","0","1","0","0"
"POINT (8.446952838000072 51.957927927000071)","Unfall 31768 (2024) Kat:3, Licht: 0","31768","3","6","2","04","07","2","","0","0","1","0","0"
"POINT (8.523283605000074 52.024671719000082)","Unfall 31769 (2024) Kat:2, Licht: 0","31769","2","7","0","04","13","2","","0","1","1","0","0"
"POINT (8.564235083000028 52.012289915000053)","Unfall 31847 (2024) Kat:2, Licht: 2","31847","2","1","0","04","22","1","","2","1","0","0","0"
"POINT (8.574431296000057 51.951352608000036)","Unfall 31964 (2024) Kat:3, Licht: 0","31964","3","6","3","04","14","7","","0","0","1","0","0"
"POINT (8.565572560000021 52.038490538000076)","Unfall 31965 (2024) Kat:3, Licht: 2","31965","3","1","0","04","06","7","","2","1","0","0","0"
"POINT (8.578776148000031 52.051231640000026)","Unfall 32210 (2024) Kat:2, Licht: 0","32210","2","1","8","04","13","4","","0","0","1","0","0"
"POINT (8.603364846000034 52.028411358000028)","Unfall 32304 (2024) Kat:3, Licht: 0","32304","3","3","5","04","15","3","","0","1","0","0","0"
"POINT (8.598283074000051 52.056933370000081)","Unfall 32305 (2024) Kat:3, Licht: 1","32305","3","6","2","04","20","3","","1","0","1","0","0"
