WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.696813325000051 52.380038001000059)",Unfall 12510 (2017) Kat:3, Licht: 0,12510,3,6,2,04,19,7,0,0,0,1,0,0
"POINT (9.734297532000028 52.387344932000076)",Unfall 12512 (2017) Kat:3, Licht: 0,12512,3,4,6,04,18,7,0,0,0,1,1,0
"POINT (9.827059314000053 52.354031151000072)",Unfall 12525 (2017) Kat:3, Licht: 0,12525,3,6,2,03,13,1,0,0,0,1,0,1
"POINT (9.890295539000022 52.363029824000080)",Unfall 12529 (2017) Kat:3, Licht: 0,12529,3,6,3,04,08,7,0,0,0,1,0,0
"POINT (9.697642125000073 52.377233340000032)",Unfall 12606 (2017) Kat:3, Licht: 2,12606,3,6,2,03,23,7,0,2,0,1,0,0
"POINT (9.878577891000077 52.399806473000069)",Unfall 12607 (2017) Kat:3, Licht: 1,12607,3,1,9,03,05,7,0,1,0,1,0,0
"POINT (9.796814552000058 52.347553801000061)",Unfall 12645 (2017) Kat:3, Licht: 0,12645,3,6,2,03,15,6,0,0,0,1,0,0
"POINT (9.699462936000032 52.347362229000055)",Unfall 12713 (2017) Kat:3, Licht: 0,12713,3,3,5,03,15,6,0,0,0,1,0,1
"POINT (9.708406376000028 52.365969120000045)",Unfall 12714 (2017) Kat:3, Licht: 2,12714,3,7,5,03,23,6,0,2,0,1,0,0
"POINT (9.843953098000043 52.360721865000073)",Unfall 12724 (2017) Kat:2, Licht: 2,12724,2,7,0,03,23,6,0,2,0,1,0,0
"POINT (9.701232415000050 52.379972138000028)",Unfall 12749 (2017) Kat:3, Licht: 2,12749,3,6,2,03,19,5,0,2,0,1,0,0
"POINT (9.696348981000028 52.379841687000066)",Unfall 12750 (2017) Kat:2, Licht: 2,12750,2,2,5,03,23,5,0,2,0,1,0,0
