WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.733770851000031 52.417642577000038)",Unfall 17847 (2017) Kat:3,17847,3,3,5,07,20,3,0,,1,1,0,0
"POINT (9.812800592000031 52.409536990000049)",Unfall 17850 (2017) Kat:3,17850,3,6,2,07,11,3,0,,0,1,0,0
"POINT (9.440764179000041 52.330558288000077)",Unfall 17851 (2017) Kat:3,17851,3,6,2,07,15,3,0,,0,1,0,0
"POINT (9.609083254000041 52.405958722000037)",Unfall 17857 (2017) Kat:3,17857,3,3,5,07,17,3,0,,1,1,0,0
"POINT (9.995493050000050 52.444008500000052)",Unfall 17860 (2017) Kat:3,17860,3,2,5,07,17,3,0,,0,1,0,0
"POINT (10.143485484000053 52.361860496000077)",Unfall 17881 (2017) Kat:3,17881,3,6,2,07,16,3,0,,0,0,0,0
"POINT (9.478431194000052 52.296122736000029)",Unfall 17897 (2017) Kat:3,17897,3,7,4,07,16,3,0,,0,1,0,0
"POINT (9.898254206000047 52.493886436000082)",Unfall 17898 (2017) Kat:3,17898,3,4,0,07,11,3,0,,0,0,1,0
"POINT (9.598142057000075 52.178392182000039)",Unfall 17900 (2017) Kat:3,17900,3,2,5,07,15,3,0,,0,1,0,0
"POINT (9.702336521000063 52.430303635000030)",Unfall 17902 (2017) Kat:2,17902,2,6,3,07,14,3,0,,0,1,0,0
"POINT (9.826180020000038 52.425063115000057)",Unfall 17905 (2017) Kat:3,17905,3,6,2,07,08,3,0,,0,1,0,0
"POINT (9.461450761000037 52.402979366000068)",Unfall 17933 (2017) Kat:3,17933,3,2,2,07,18,2,0,,0,1,0,0
"POINT (9.699584631000050 52.214260480000064)",Unfall 17935 (2017) Kat:3,17935,3,3,0,07,15,2,0,,0,1,0,1
"POINT (9.583038533000035 52.346604318000061)",Unfall 17936 (2017) Kat:3,17936,3,7,8,07,04,2,0,,0,1,0,0
"POINT (9.479072764000023 52.384542026000076)",Unfall 17937 (2017) Kat:3,17937,3,1,8,07,03,2,0,,0,0,0,0
"POINT (9.944608265000056 52.333781094000074)",Unfall 17938 (2017) Kat:3,17938,3,3,5,07,08,2,0,,1,1,0,0
"POINT (9.723366465000026 52.440261228000054)",Unfall 17940 (2017) Kat:3,17940,3,3,5,07,18,2,0,,0,1,0,0
"POINT (9.721953898000038 52.449895604000062)",Unfall 17942 (2017) Kat:3,17942,3,7,8,07,06,2,0,,0,1,0,0
