WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (9.765547381000033 52.430280989000039)",Unfall 106 (2024) Kat:3, Licht: 0,106,3,3,5,04,14,4,,0,1,1,0,0
"POINT (9.375745563000066 52.419466815000078)",Unfall 107 (2024) Kat:2, Licht: 0,107,2,7,1,04,16,4,,0,1,1,0,0
"POINT (9.744203585000037 52.547457603000055)",Unfall 108 (2024) Kat:2, Licht: 0,108,2,3,5,04,16,5,,0,1,1,0,0
"POINT (9.708449217000066 52.420822550000082)",Unfall 109 (2024) Kat:3, Licht: 0,109,3,2,0,04,13,3,,0,1,1,0,0
"POINT (9.761369509000076 52.521309347000056)",Unfall 110 (2024) Kat:2, Licht: 0,110,2,3,5,04,12,1,,0,1,0,0,0
"POINT (9.735305263000043 52.394775732000028)",Unfall 111 (2024) Kat:3, Licht: 0,111,3,2,5,04,21,7,,0,1,1,0,0
"POINT (9.832777196000052 52.338420880000058)",Unfall 112 (2024) Kat:3, Licht: 0,112,3,3,5,04,14,7,,0,1,1,0,0
"POINT (9.667995757000028 52.342336214000056)",Unfall 113 (2024) Kat:3, Licht: 0,113,3,3,5,04,18,7,,0,1,1,0,0
"POINT (9.758463218000031 52.320874808000042)",Unfall 114 (2024) Kat:3, Licht: 1,114,3,3,5,04,20,7,,1,1,0,0,0
"POINT (9.860080889000074 52.433973993000052)",Unfall 115 (2024) Kat:3, Licht: 0,115,3,3,5,04,06,6,,0,1,1,0,0
"POINT (9.675370193000049 52.312265982000042)",Unfall 116 (2024) Kat:3, Licht: 0,116,3,1,8,05,20,1,,0,1,0,0,0
"POINT (9.723418326000058 52.377726249000034)",Unfall 117 (2024) Kat:3, Licht: 0,117,3,2,5,04,12,6,,0,1,1,0,0
"POINT (9.757861315000071 52.370258553000042)",Unfall 118 (2024) Kat:3, Licht: 2,118,3,7,0,04,00,5,,2,1,0,0,0
"POINT (9.726989644000071 52.366537387000051)",Unfall 119 (2024) Kat:3, Licht: 0,119,3,3,5,04,13,5,,0,1,1,0,0
"POINT (9.677980309000077 52.360435821000067)",Unfall 120 (2024) Kat:3, Licht: 0,120,3,3,5,04,09,4,,0,1,1,0,0
"POINT (9.450015916000041 52.427022299000043)",Unfall 121 (2024) Kat:3, Licht: 0,121,3,6,4,04,15,3,,0,1,0,0,0
"POINT (9.593946904000063 52.395581391000064)",Unfall 122 (2024) Kat:3, Licht: 0,122,3,7,0,04,14,3,,0,1,0,0,0
"POINT (9.713148951000051 52.346506629000032)",Unfall 123 (2024) Kat:3, Licht: 2,123,3,6,3,04,01,2,,2,1,1,0,0
"POINT (9.678493112000069 52.381058147000033)",Unfall 124 (2024) Kat:3, Licht: 1,124,3,6,3,04,20,2,,1,1,1,0,0
"POINT (9.827509564000025 52.360060435000037)",Unfall 125 (2024) Kat:3, Licht: 0,125,3,6,4,04,09,2,,0,1,1,0,0
"POINT (9.773881087000063 52.331892689000028)",Unfall 126 (2024) Kat:3, Licht: 0,126,3,7,0,04,13,2,,0,1,0,0,0
"POINT (9.645143770000061 52.397234506000075)",Unfall 127 (2024) Kat:3, Licht: 0,127,3,3,5,04,07,2,,0,1,1,0,0
"POINT (9.729254639000033 52.438692754000044)",Unfall 128 (2024) Kat:3, Licht: 0,128,3,3,5,04,17,2,,0,1,0,0,1
"POINT (9.754654345000063 52.436463644000071)",Unfall 129 (2024) Kat:2, Licht: 2,129,2,3,5,04,05,2,,2,1,1,0,0
"POINT (9.762818979000031 52.344438585000034)",Unfall 130 (2024) Kat:3, Licht: 0,130,3,3,5,04,15,7,,0,1,1,0,0
"POINT (9.421371531000034 52.429344236000077)",Unfall 131 (2024) Kat:3, Licht: 0,131,3,2,5,04,11,7,,0,1,1,0,0
"POINT (9.574324594000075 52.282018100000073)",Unfall 132 (2024) Kat:3, Licht: 0,132,3,2,5,04,13,7,,0,1,1,0,0
"POINT (9.669322206000061 52.346561996000048)",Unfall 133 (2024) Kat:3, Licht: 0,133,3,3,5,04,14,7,,0,1,1,0,0
"POINT (9.856340242000044 52.492026268000075)",Unfall 134 (2024) Kat:3, Licht: 0,134,3,3,5,04,10,7,,0,1,1,0,0
"POINT (9.415522451000072 52.428586452000047)",Unfall 135 (2024) Kat:3, Licht: 0,135,3,2,5,04,07,6,,0,1,1,0,0
"POINT (10.013043032000041 52.445720375000064)",Unfall 136 (2024) Kat:3, Licht: 0,136,3,3,5,04,11,6,,0,1,1,0,0
"POINT (9.613497449000022 52.258267062000073)",Unfall 137 (2024) Kat:2, Licht: 0,137,2,7,0,04,15,6,,0,1,0,0,0
"POINT (9.731866930000024 52.369087663000073)",Unfall 138 (2024) Kat:3, Licht: 0,138,3,3,5,04,07,5,,0,1,1,0,0
"POINT (9.970983676000060 52.372961253000028)",Unfall 139 (2024) Kat:3, Licht: 0,139,3,6,4,04,07,4,,0,1,0,0,0
"POINT (9.734976974000062 52.408544681000080)",Unfall 140 (2024) Kat:3, Licht: 2,140,3,1,7,04,22,5,,2,1,0,0,0
"POINT (9.604319021000038 52.455500490000077)",Unfall 141 (2024) Kat:3, Licht: 0,141,3,7,0,03,13,7,,0,1,0,0,0
"POINT (9.764839357000028 52.342729969000061)",Unfall 142 (2024) Kat:3, Licht: 0,142,3,2,5,05,13,4,,0,1,1,0,0
"POINT (9.761995367000054 52.370519413000068)",Unfall 143 (2024) Kat:3, Licht: 0,143,3,7,0,03,16,6,,0,1,0,0,0
"POINT (9.611632557000064 52.436167412000032)",Unfall 144 (2024) Kat:3, Licht: 0,144,3,7,0,03,11,5,,0,1,0,0,0
"POINT (9.821300620000045 52.339162175000070)",Unfall 145 (2024) Kat:2, Licht: 0,145,2,3,5,03,11,5,,0,1,1,0,0
"POINT (9.735322701000030 52.393528161000063)",Unfall 146 (2024) Kat:3, Licht: 0,146,3,4,0,03,13,5,,0,1,0,1,0
"POINT (9.415987122000047 52.428717014000028)",Unfall 147 (2024) Kat:3, Licht: 0,147,3,6,4,03,16,4,,0,1,0,0,0
"POINT (9.611254837000047 52.392048893000037)",Unfall 148 (2024) Kat:3, Licht: 0,148,3,3,5,03,11,4,,0,1,1,0,0
"POINT (9.977097365000077 52.373721325000076)",Unfall 149 (2024) Kat:3, Licht: 0,149,3,7,0,05,11,7,,0,1,0,0,0
