WKT,Name,OBJECTID,UKATEGORIE,UTYP1,UART,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,ULICHTVERH,ISTRAD,ISTPKW,ISTFUSS,ISTKRAD
"POINT (7.038587953000047 50.714586199000053)",Unfall 103846 (2019) Kat:3, Licht: 2,103846,3,3,5,04,22,3,1,2,0,1,0,0
"POINT (7.137731759000076 50.742403547000038)",Unfall 103847 (2019) Kat:3, Licht: 0,103847,3,2,3,04,08,3,0,0,1,0,0,0
"POINT (7.058841684000072 50.720057525000072)",Unfall 103979 (2019) Kat:3, Licht: 0,103979,3,6,2,04,11,2,0,0,0,1,0,1
"POINT (7.101329480000061 50.757380747000070)",Unfall 104058 (2019) Kat:3, Licht: 0,104058,3,6,3,04,08,2,0,0,0,1,0,0
"POINT (7.135174908000067 50.765365110000062)",Unfall 104139 (2019) Kat:2, Licht: 2,104139,2,6,0,04,22,7,0,2,0,1,0,1
"POINT (7.122943961000033 50.744367771000043)",Unfall 104187 (2019) Kat:3, Licht: 0,104187,3,6,3,04,10,6,0,0,0,0,0,1
"POINT (7.127044262000027 50.710734589000026)",Unfall 104282 (2019) Kat:3, Licht: 0,104282,3,6,2,04,12,5,1,0,0,1,0,0
"POINT (7.049810981000064 50.716454613000053)",Unfall 104283 (2019) Kat:3, Licht: 0,104283,3,7,0,04,19,5,0,0,1,1,0,0
"POINT (7.136910079000074 50.701565678000065)",Unfall 104388 (2019) Kat:3, Licht: 0,104388,3,2,3,04,11,4,1,0,1,1,0,0
"POINT (7.152533946000062 50.685275824000030)",Unfall 104390 (2019) Kat:3, Licht: 0,104390,3,6,2,04,11,4,1,0,0,1,0,0
"POINT (7.101123391000044 50.741117793000058)",Unfall 104392 (2019) Kat:2, Licht: 1,104392,2,6,0,04,07,4,1,1,1,0,0,0
"POINT (7.085860301000025 50.733743702000027)",Unfall 104479 (2019) Kat:2, Licht: 0,104479,2,3,5,04,12,2,0,0,1,0,0,0
"POINT (7.145576005000066 50.720408827000028)",Unfall 104604 (2019) Kat:3, Licht: 0,104604,3,6,2,04,15,4,0,0,0,1,0,0
"POINT (7.089994495000042 50.743602663000047)",Unfall 104693 (2019) Kat:3, Licht: 0,104693,3,3,5,04,07,3,0,0,1,1,1,0
"POINT (7.136571844000059 50.701597224000068)",Unfall 104830 (2019) Kat:3, Licht: 0,104830,3,6,1,04,13,6,0,0,0,1,0,0
"POINT (7.116319170000054 50.739003182000033)",Unfall 104832 (2019) Kat:2, Licht: 1,104832,2,1,0,04,20,6,0,1,1,0,0,0
"POINT (7.116327071000058 50.739004302000069)",Unfall 104833 (2019) Kat:2, Licht: 2,104833,2,1,0,04,01,6,0,2,1,0,0,0
"POINT (7.099448213000073 50.737439615000028)",Unfall 104834 (2019) Kat:3, Licht: 0,104834,3,5,1,04,17,6,0,0,1,1,0,0
"POINT (7.085035066000046 50.745908949000068)",Unfall 104835 (2019) Kat:3, Licht: 0,104835,3,3,5,04,06,6,0,0,0,1,0,0
"POINT (7.063438996000059 50.749082171000055)",Unfall 104877 (2019) Kat:3, Licht: 0,104877,3,6,2,04,17,6,0,0,0,1,0,0
"POINT (7.192699864000076 50.711659747000056)",Unfall 104933 (2019) Kat:3, Licht: 0,104933,3,1,8,04,17,5,0,0,0,0,0,1
"POINT (7.120711764000021 50.741269130000035)",Unfall 104934 (2019) Kat:3, Licht: 0,104934,3,6,2,04,12,5,0,0,0,1,0,0
"POINT (7.139866646000030 50.752030528000034)",Unfall 104935 (2019) Kat:3, Licht: 0,104935,3,5,2,04,13,5,0,0,0,1,0,0
"POINT (7.086515107000025 50.735496700000056)",Unfall 105232 (2019) Kat:3, Licht: 0,105232,3,6,3,04,13,3,0,0,1,1,0,0
"POINT (7.152533946000062 50.685275824000030)",Unfall 105308 (2019) Kat:3, Licht: 0,105308,3,3,5,04,08,5,0,0,1,1,0,0
"POINT (7.137186989000043 50.672028991000047)",Unfall 105398 (2019) Kat:3, Licht: 0,105398,3,3,5,04,18,2,0,0,1,1,0,0
"POINT (7.085988449000070 50.734601633000068)",Unfall 105510 (2019) Kat:3, Licht: 0,105510,3,2,4,04,13,4,0,0,1,0,0,0
"POINT (7.152623025000025 50.685190116000058)",Unfall 105614 (2019) Kat:3, Licht: 2,105614,3,6,2,04,20,1,0,2,0,1,0,0
"POINT (7.099269744000026 50.737446714000043)",Unfall 105616 (2019) Kat:3, Licht: 0,105616,3,3,3,04,20,1,0,0,1,0,0,0
"POINT (7.061243533000038 50.694851890000052)",Unfall 105837 (2019) Kat:2, Licht: 0,105837,2,6,0,04,12,3,0,0,0,1,0,0
"POINT (7.143870126000024 50.728500762000067)",Unfall 105899 (2019) Kat:3, Licht: 2,105899,3,6,0,04,22,2,0,2,1,0,0,0
"POINT (7.074314513000047 50.733270950000076)",Unfall 105965 (2019) Kat:3, Licht: 0,105965,3,6,2,04,17,6,0,0,0,1,0,0
"POINT (7.154257416000064 50.722182324000073)",Unfall 106044 (2019) Kat:3, Licht: 0,106044,3,2,2,04,11,5,0,0,0,1,0,0
"POINT (7.085832285000038 50.745406016000061)",Unfall 106045 (2019) Kat:3, Licht: 0,106045,3,3,5,04,12,5,0,0,1,0,0,0
"POINT (7.141441988000054 50.752924351000047)",Unfall 106135 (2019) Kat:3, Licht: 0,106135,3,3,3,04,15,5,0,0,0,1,0,0
"POINT (7.162448070000039 50.715564887000028)",Unfall 106361 (2019) Kat:3, Licht: 0,106361,3,4,6,04,08,6,0,0,0,1,1,0
"POINT (7.179531756000074 50.667485864000071)",Unfall 106492 (2019) Kat:3, Licht: 0,106492,3,3,5,04,15,3,0,0,0,1,0,0
"POINT (7.101200132000031 50.737434114000052)",Unfall 106496 (2019) Kat:3, Licht: 0,106496,3,6,0,04,12,3,0,0,0,1,0,0
